"Published Chart",,,,,,,,,,,,,,,,,,,,,,,,
"Week Ending: 11/22/2025        Panel: Mediabase - Published Canada Panel        Format: Hot AC        GRC: Currents and Recurrents        Min Spins Cut off: 5        Show Top: 150",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Cancon,"Wks On",Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,"Avg. Station Rotations",,,,"w/o OVN",,"6am to 7pm",,"Format By Format Rank",,,,,,
,LW,TW,,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,"Canada-Top 40","Canada-Hot AC","Canada-Main AC",Canada-Country,"Canada-Active Rock","Canada-Alternative Rock","Big Picture"
1,-Rec-,-Rec-,,"BILLIE EILISH","BIRDS OF A FEATHER",Darkroom/Interscope/ICLG,,-,477,489,-12,141,78,88,66,104,1.429,1.479,-0.050,R,R,27,0,27,17.0,17.5,-0.4,-Rec-,336,23,232,-,-,-,-,-,126,47
1,-Rec-,-Rec-,,HOZIER,"Too Sweet",Columbia,,-,460,480,-20,136,59,95,87,83,1.344,1.342,0.002,R,R,30,1,30,14.8,15.5,-0.6,-Rec-,324,22,241,-,-,-,-,-,-,44
1,-Rec-,-Rec-,,"BENSON BOONE","Beautiful Things","Night Street/Warner",,-,454,456,-2,135,61,95,75,88,1.396,1.309,0.087,R,R,30,0,30,14.6,14.7,-0.1,-Rec-,319,24,231,-,-,-,-,-,356,57
1,-Rec-,-Rec-,,"SABRINA CARPENTER",Espresso,Island/Republic,,-,443,455,-12,145,45,95,82,76,1.388,1.420,-0.032,R,R,27,0,27,15.8,16.3,-0.4,-Rec-,298,26,222,-,-,-,-,-,128,50
1,-Rec-,-Rec-,,"MYLES SMITH",Stargazing,RCA,,-,436,476,-40,129,61,105,64,77,1.290,1.354,-0.064,R,R,30,0,30,14.1,15.4,-1.3,-Rec-,307,25,230,-,-,-,-,-,-,41
9,-Rec-,-Rec-,,"DEVON COLE","I Got You",Arista,Yes,-,433,454,-21,100,70,83,91,89,1.309,1.216,0.093,R,R,27,0,27,15.5,16.2,-0.8,-Rec-,333,20,244,-,-,-,-,-,-,64
1,-Rec-,-Rec-,,"CHAPPELL ROAN","Pink Pony Club",Island/Republic,,-,432,446,-14,115,56,81,85,95,0.930,1.002,-0.072,R,R,26,0,26,15.4,15.9,-0.5,-Rec-,317,27,222,-,-,12,-,-,117,42
6,-Rec-,-Rec-,,"SHAWN DESMAN X JAMIE FINE",Body,Wax,Yes,-,358,392,-34,73,45,71,70,99,0.824,0.879,-0.055,R,R,25,0,25,13.8,15.1,-1.3,-Rec-,285,28,186,-,-,-,-,-,-,107
8,-Rec-,-Rec-,,"ALEXANDER STEWART","His Problem Instead","The Orchard/FAE",Yes,-,351,384,-33,91,46,71,65,78,0.734,0.759,-0.025,R,R,21,2,21,16.0,17.5,-1.5,-Rec-,260,29,182,-,-,-,-,-,-,73
6,-Rec-,-Rec-,,"THE WEEKND","Dancing In The Flames",XO/Republic,Yes,-,341,382,-41,89,43,67,57,85,0.969,1.216,-0.247,R,R,27,0,27,12.2,13.6,-1.5,-Rec-,252,32,167,-,-,-,-,-,-,72
2,-Rec-,-Rec-,,"BENSON BOONE","Sorry I'm Here For Someone...","Night Street/Warner",,-,330,388,-58,93,48,72,49,68,1.475,1.678,-0.203,R,R,21,0,21,11.8,13.9,-2.1,-Rec-,237,31,169,-,-,7,-,-,113,58
