"Station Playlist",,,,,,,,,,,,,,,,,,,,,,,,
"Report Cycle: Published        LW: 11/09/2025 - 11/15/2025        TW: 11/16/2025 - 11/22/2025        Panel: Mediabase - All Canadian Stations        GRC: Show All        Show Top: 150        Station: CKPT-FM/Canada-Main AC/Peterborough, ON/Durham Radio Inc",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station Rank",,Artist,Title,Cancon,Label,Year,Spins,,,Dayparts,,,,,"Market Info",,Impressions,,"Historical Data Since: 09/22/2007",,"Format Comparison",,,"6am to 7pm",,"W/O Ovn",
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,"CKPT-FM Share(%)","Market Spins TW","Reach/ Mill","Imp Rank","First Played","Hist Spins",Rank,Avg,CKPT,Rank,TW,Rank,TW
129,117,"MILEY CYRUS",Jaded,,Columbia,2023,3,3,0,2,0,1,0,0,100,3,0.002,477,05/06/23,670,"1109 g",1,+2,245,1,424,1
130,118,"D.N.A./SUZANNE VEGA","Tom's Diner",,A&M,1990,3,3,0,0,0,1,1,1,25,12,0.005,102,05/13/11,41,"2802 g",1,+2,105,2,106,3
135,119,"SHAWN DESMAN","Let's Go",Yes,"Sony BMG Canada",2005,3,3,0,0,0,1,1,1,100,3,0.005,123,06/14/15,95,"3364 g",2,+1,106,2,91,3
140,120,"BILLIE EILISH","What Was I Made For?",,Darkroom/Interscope/ICLG,2023,3,3,0,1,0,0,1,1,100,3,0.003,239,09/02/23,348,N/A,1,+2,246,1,172,2
141,121,"FABER DRIVE","When I'm With You",Yes,"604/Universal Canada",2007,3,3,0,0,1,1,0,1,100,3,0.005,108,12/10/07,1105,"662 g",3,0,107,2,119,3
144,122,"FLO RIDA","Right Round",,"Poe Boy/Atlantic",2009,3,3,0,1,0,0,1,1,33,9,0.003,259,02/14/09,2153,"801 g",1,+2,247,1,207,2
147,123,"ALI GATIE","Welcome Back f/Alessia Cara",Yes,Warner,2020,3,3,0,1,1,1,0,0,100,3,0.004,152,10/30/20,177,"4425 g",1,+2,108,2,174,2
148,124,"GNARLS BARKLEY",Crazy,,Downtown/Lava/Atlantic,2006,3,3,0,1,0,1,0,1,100,3,0.003,261,09/22/07,946,"611 g",1,+2,248,1,220,2
155,125,"WHITNEY HOUSTON","I Wanna Dance With Somebody...",,Arista,1987,3,3,0,2,0,1,0,0,43,7,0.002,482,12/04/11,1098,"296 g",2,+1,249,1,433,1
157,126,"RYLAND JAMES","In My Head",Yes,"21 Ent/Republic",2019,3,3,0,0,0,1,1,1,100,3,0.005,122,05/06/25,78,"1542 g",2,+1,109,2,104,3
