,,,,,,,,,,,,,,,,,,,,,
"TW: Feb 22 - Feb 28        LW: Feb 15 - Feb 21        Panel: Mediabase - Published Canada Panel        Format: Hot AC        Min Spins Cut off: 1        Hide French Songs: Yes",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rank,,,Artist,Title,Label,Cancon,Spins,,,Dayparts,,,,,Impressions,Stations,,"Avg. Station Rotations",,,
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,On,New,On,TW,LW,+/-
142,65,Yes,ARKELLS,"Money f/Portugal. The Man","Virgin/Universal Canada",Yes,27,6,21,10,1,5,4,7,0.077,1,0,1,13.5,3.0,10.5
62,66,,"SIENNA SPIRO","Die On This Hill",Capitol/ICLG,,27,30,-3,4,1,1,4,17,0.041,10,0,10,2.5,2.7,-0.3
52,67,,RYMZ,Goodbye,"Joy Ride",Yes,27,41,-14,0,7,6,1,13,0.199,3,0,3,9.0,13.7,-4.7
73,68,Yes,"MILKY CHANCE",Camouflage,Muggelig,,26,23,3,14,1,4,5,2,0.139,1,0,1,26.0,23.0,3.0
256,69,Yes,MAHEJA,"Une Seconde.",Soluté,Yes,25,2,23,8,3,5,2,7,0.147,1,0,1,25.0,2.0,23.0
61,70,,"HAVIAH MIGHTY","Lucky f/Shantel May","Mighty Gang Inc",Yes,25,31,-6,4,2,8,8,3,0.061,6,0,6,4.2,5.2,-1.0
88,71,Yes,"FRED DIONNE","J'Pense Qu'On Est Du",Indépendant,Yes,24,17,7,1,4,3,3,13,0.110,3,0,3,8.0,5.7,2.3
65,72,,"MUMFORD & SONS",Rushmere,GOTR/Glassnote,,24,27,-3,17,0,4,2,1,0.074,2,0,2,12.0,13.5,-1.5
38,73,,"HILARY DUFF",Roommates,Atlantic,,24,60,-36,5,3,3,4,9,0.145,10,0,10,2.2,5.5,-3.3
155,74,Yes,LIGHTS,"COME GET YOUR GIRL",Lights/UMC,Yes,23,5,18,2,0,11,5,5,0.074,7,6,7,3.3,0.7,2.6
87,75,Yes,KEHLANI,Folded,TSNMI/Atlantic,,23,18,5,0,1,5,5,12,0.026,12,0,12,1.9,1.5,0.4
