"Station Playlist",,,,,,,,,,,,,,,,,,,,,,,,
"Report Cycle: Published        LW: 02/15/2026 - 02/21/2026        TW: 02/22/2026 - 02/28/2026        Panel: Mediabase - All Canadian Stations        GRC: Currents and Recurrents        Show Top: 150        Station: CIWV-FM/Canada-Main AC/Vancouver, BC/Durham Radio Inc",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station Rank",,Artist,Title,Cancon,Label,Year,Spins,,,Dayparts,,,,,"Market Info",,Impressions,,"Historical Data Since: 11/23/2023",,"Format Comparison",,,"6am to 7pm",,"W/O Ovn",
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,"CIWV-FM Share(%)","Market Spins TW","Reach/ Mill","Imp Rank","First Played","Hist Spins",Rank,Avg,CIWV,Rank,TW,Rank,TW
69,62,"NEIL DONELL","Neither One Of Us",Yes,Independent,200,2,2,0,0,0,1,0,1,100,2,0.000,105,05/07/24,137,3081,2,0,69,1,62,2
77,63,"GABRIEL MARK HASSELBACH","Presence Of Mind",Yes,Mesa/Bluemoon,2023,2,2,0,0,0,1,0,1,100,2,0.000,71,04/21/24,192,2986,2,0,70,1,49,2
86,64,JAREZ,"Coming Back Around f/J.Vaughn",,"J Star Ent",2024,2,2,0,1,0,1,0,0,100,2,0.000,80,12/04/24,209,2996,2,0,71,1,97,1
89,65,"MOLLY JOHNSON","All I See f/CUBE",Yes,"Universal Music Canada",2025,2,2,0,1,0,1,0,0,100,2,0.000,104,09/17/25,118,2937,2,0,72,1,105,1
93,66,"DAVE KOZ","Wrapped Up In Your Smile",Yes,"Just Koz Ent",2023,2,2,0,0,1,0,0,1,100,2,0.000,60,04/29/24,155,3011,2,0,73,1,70,2
101,67,"WENDY MOTEN",As,,"Woodward Avenue",2022,2,2,0,1,0,0,0,1,100,2,0.000,127,11/24/23,183,3119,2,0,216,0,96,1
102,68,"STEVE OLIVER",Sunkiss,,"Wide Sky",2025,2,2,0,1,0,0,0,1,100,2,0.000,121,08/26/25,131,3030,2,0,217,0,101,1
104,69,"STEVE OLIVER",Skyway,Yes,"Wide Sky",2023,2,2,0,0,0,0,1,1,100,2,0.000,119,11/24/23,256,3026,2,0,74,1,69,2
103,70,"STEVE OLIVER","Freedom Drive",,"Wide Sky",2025,2,2,0,1,0,1,0,0,100,2,0.000,118,01/07/25,209,2906,2,0,75,1,114,1
116,71,"STEPHEN SANCHEZ","Be More",,Mercury/Republic,2023,2,2,0,1,0,1,0,0,100,2,0.000,116,11/23/23,262,3014,2,0,76,1,104,1
120,72,"JC SOL","Best Of Things",Yes,---,2023,2,2,0,1,1,0,0,0,100,2,0.000,82,11/25/23,168,3019,2,0,77,1,102,1
122,73,"CHRIS STANDRING","Shadow Of Doubt",,---,2023,2,2,0,1,0,0,1,0,100,2,0.000,56,04/30/24,107,3005,2,0,78,1,125,1
124,74,"ROB TARDIK","B Positive f/Dave Koz",Yes,Guitardik,2021,2,2,0,0,0,0,1,1,100,2,0.000,113,11/24/23,185,3015,2,0,79,1,66,2
127,75,"ELAN TROTMAN","Passport To Paradise",,"E.T. Muzik",2022,2,2,0,1,1,0,0,0,100,2,0.000,63,04/20/24,162,2980,2,0,80,1,113,1
132,76,"BLAKE AARON","Big Bounce",,Innervision,2023,2,1,1,1,0,0,0,1,100,2,0.000,52,04/24/24,97,2709,2,0,218,0,94,1
142,77,"JANN ARDEN","You Gotta Be",Yes,"Universal Music Canada",2024,2,1,1,1,0,1,0,0,100,2,0.000,79,03/25/25,116,1818,1,+1,81,1,90,1
143,78,"RANDY BACHMAN","In The Shade",Yes,---,2023,2,1,1,0,0,1,0,1,100,2,0.000,111,04/24/24,218,2852,2,0,82,1,63,2
145,79,"ROBYN BLACK","I'll Be Around",Yes,"LP Music",2024,2,1,1,1,0,1,0,0,100,2,0.000,114,01/16/25,151,2768,2,0,83,1,111,1
160,80,CASTELLA,"I Saw You f/Marquel Jordan",,Castella,2023,2,1,1,1,0,1,0,0,100,2,0.000,53,04/20/24,123,2684,2,0,84,1,86,1
164,81,COLDPLAY,feelslikeimfallinginlove,,Parlophone/Atlantic,2024,2,1,1,0,1,0,1,0,100,2,0.000,58,07/24/24,426,409,1,+1,43,2,73,2
167,82,"NICK COLIONNE","Step To This",,---,2022,2,1,1,1,0,1,0,0,100,2,0.000,106,04/29/24,107,2674,2,0,85,1,109,1
172,83,"OLIVIA DEAN","Man I Need",,Island/Republic,2025,2,1,1,1,0,1,0,0,1,161,0.000,109,10/01/25,264,3,17,-15,86,1,95,1
175,84,"TERRY DISLEY","Bangers & Mash",,"Ultimate Vibe",2024,2,1,1,1,1,0,0,0,100,2,0.000,124,03/12/24,245,2699,2,0,87,1,108,1
181,85,FOUR80EAST,"Gonna Be Alright",,Boomtang,2024,2,1,1,0,1,0,1,0,100,2,0.000,67,07/02/24,247,2874,2,0,44,2,81,2
184,86,"ALEXA GIVENS","Broken Record",,Nembleu,2022,2,1,1,0,1,0,0,1,100,2,0.000,50,04/23/24,126,2807,2,0,88,1,68,2
