Published Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week Ending: 04/18/2026        Panel: Mediabase - Published Smooth AC Panel        Format: Smooth Jazz        GRC: Currents Only        Min Spins Cut off: 1        Show Top: 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Wks On,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,
,LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,Smooth Jazz,Big Picture
78,89,94,,SHARON RAE NORTH,Drive,Northstar Ent.,-,33,34,-1,6,9,5,3,10,0.03,0.033,-0.003,101,81,4,0,4,8.3,8.5,-0.3,89,27,98,17,94,-
85,85,95,,STEVE COLE,Knock Out,Mack Avenue,-,33,34,-1,6,12,6,3,6,0.015,0.013,0.002,141,154,7,1,7,4.7,4.9,-0.1,85,27,80,21,95,-
95,95,96,Yes,FABIAN CHAVEZ,Shine A Little Love,MBF,-,32,31,1,9,7,5,8,3,0.028,0.032,-0.004,112,87,4,0,4,6.4,6.2,0.2,103,23,85,20,96,-
87,93,97,Yes,BLUE SMOKE BAND,I'm Done,B-Dunn,-,32,32,0,11,4,7,4,6,0.062,0.066,-0.004,38,32,1,0,1,32,32,0,115,21,107,15,97,-
98,111,98,Yes,KENNY PORE,East West Vibe,Pore,-,31,26,5,5,10,3,7,6,0.035,0.011,0.024,76,170,4,0,4,7.8,6.5,1.3,93,26,86,20,98,-
92,115,99,Yes,NATHAN EAST & NOAH EAST,How Deep Is Your Love,Eastern Star,-,31,26,5,9,6,6,1,9,0.031,0.028,0.003,95,112,5,0,5,6.2,5.2,1,108,22,127,13,99,-
74,74,100,,KEI CHANEY,Wildflower f/Will Prince,---,-,31,37,-6,8,7,4,4,8,0.032,0.035,-0.003,86,70,6,0,6,5.2,6.2,-1,102,23,108,15,100,-
20,118,101,Yes,BPM,Eastside Party,Shanachie,15,30,26,4,6,5,8,6,5,0.003,0.003,0,354,343,7,1,7,4.3,3.7,0.6,98,24,92,19,101,-
96,96,102,,RANDY BRECKER,Hot Sauce,SRG Jazz,-,30,31,-1,5,6,10,4,5,0.016,0.019,-0.003,137,128,6,0,6,5,5.2,-0.2,96,25,87,20,102,-
103,127,103,Yes,CONYA DOSS,Long For The Days,Conya Doss Songs,-,29,24,5,8,4,5,5,7,0.029,0.037,-0.008,104,64,2,0,2,9.7,8,1.7,109,21,117,14,103,-
